Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Environment,Air Quality,PM2.5 Concentration,2014,10.47786135,"Census Tract 1091, Los Angeles County, California",109100,Mission Hills,1400000US06037109100,"(34.278731, -118.4610295)",PM2.5_Concentration_2014_1400000US06037109100,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.43632454,"Census Tract 1092, Los Angeles County, California",109200,Granada Hills,1400000US06037109200,"(34.2786785, -118.474608)",PM2.5_Concentration_2014_1400000US06037109200,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.48642917,"Census Tract 1093, Los Angeles County, California",109300,Granada Hills,1400000US06037109300,"(34.272521, -118.479515)",PM2.5_Concentration_2014_1400000US06037109300,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.58433351,"Census Tract 1094, Los Angeles County, California",109400,Mission Hills,1400000US06037109400,"(34.269881, -118.4552825)",PM2.5_Concentration_2014_1400000US06037109400,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.56505088,"Census Tract 1095, Los Angeles County, California",109500,San Fernando,1400000US06037109500,"(34.274036, -118.4444575)",PM2.5_Concentration_2014_1400000US06037109500,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.69791049,"Census Tract 1096.01, Los Angeles County, California",109601,Mission Hills,1400000US06037109601,"(34.2582765, -118.450367)",PM2.5_Concentration_2014_1400000US06037109601,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.70539593,"Census Tract 1096.03, Los Angeles County, California",109603,Mission Hills,1400000US06037109603,"(34.2536515, -118.465415)",PM2.5_Concentration_2014_1400000US06037109603,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.6276445,"Census Tract 1096.04, Los Angeles County, California",109604,Mission Hills,1400000US06037109604,"(34.2615535, -118.465347)",PM2.5_Concentration_2014_1400000US06037109604,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.57610141,"Census Tract 1097, Los Angeles County, California",109700,Granada Hills,1400000US06037109700,"(34.263394, -118.4810215)",PM2.5_Concentration_2014_1400000US06037109700,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.65399226,"Census Tract 1098, Los Angeles County, California",109800,North Hills,1400000US06037109800,"(34.2537535, -118.481817)",PM2.5_Concentration_2014_1400000US06037109800,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.46917599,"Census Tract 1111, Los Angeles County, California",111100,Granada Hills,1400000US06037111100,"(34.2683575, -118.4946735)",PM2.5_Concentration_2014_1400000US06037111100,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.35793338,"Census Tract 1112.01, Los Angeles County, California",111201,Granada Hills,1400000US06037111201,"(34.275029, -118.50855)",PM2.5_Concentration_2014_1400000US06037111201,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.40376752,"Census Tract 1112.02, Los Angeles County, California",111202,Granada Hills,1400000US06037111202,"(34.2683485, -118.5151565)",PM2.5_Concentration_2014_1400000US06037111202,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.34608736,"Census Tract 1112.04, Los Angeles County, California",111204,Porter Ranch,1400000US06037111204,"(34.2620495, -118.5490485)",PM2.5_Concentration_2014_1400000US06037111204,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.47322162,"Census Tract 1112.05, Los Angeles County, California",111205,Northridge,1400000US06037111205,"(34.253636, -118.5358265)",PM2.5_Concentration_2014_1400000US06037111205,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.34580041,"Census Tract 1112.06, Los Angeles County, California",111206,Porter Ranch,1400000US06037111206,"(34.2676425, -118.5361955)",PM2.5_Concentration_2014_1400000US06037111206,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.4700259,"Census Tract 1113.01, Los Angeles County, California",111301,Granada Hills,1400000US06037111301,"(34.2610855, -118.5158815)",PM2.5_Concentration_2014_1400000US06037111301,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.54782309,"Census Tract 1113.02, Los Angeles County, California",111302,Northridge,1400000US06037111302,"(34.2539425, -118.512829)",PM2.5_Concentration_2014_1400000US06037111302,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.56705164,"Census Tract 1114, Los Angeles County, California",111400,Granada Hills,1400000US06037111400,"(34.257483, -118.495412)",PM2.5_Concentration_2014_1400000US06037111400,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.18507176,"Census Tract 1131.01, Los Angeles County, California",113101,Chatsworth,1400000US06037113101,"(34.265338, -118.5882575)",PM2.5_Concentration_2014_1400000US06037113101,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.24572144,"Census Tract 1131.02, Los Angeles County, California",113102,Chatsworth,1400000US06037113102,"(34.265325, -118.568068)",PM2.5_Concentration_2014_1400000US06037113102,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.0666344,"Census Tract 1132.11, Los Angeles County, California",113211,Chatsworth,1400000US06037113211,"(34.2635755, -118.611966)",PM2.5_Concentration_2014_1400000US06037113211,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.16053514,"Census Tract 1132.12, Los Angeles County, California",113212,Chatsworth,1400000US06037113212,"(34.2608605, -118.6035245)",PM2.5_Concentration_2014_1400000US06037113212,1/1/14
Environment,Air Quality,PM2.5 Concentration,2014,10.20424981,"Census Tract 1132.13, Los Angeles County, California",113213,Chatsworth,1400000US06037113213,"(34.2535965, -118.608218)",PM2.5_Concentration_2014_1400000US06037113213,1/1/14
